tracker_1_WXYZ,tracker_2_WXYZ
"0.4708,-0.2056,-0.1471,0.8452","0.2843,-0.7993,0.1256,0.5144"
"0.4710,-0.1019,-0.1521,0.8629","0.2830,-0.8034,0.1297,0.5076"
"0.4570,0.0290,-0.1678,0.8730","0.2864,-0.8005,0.1262,0.5112"
"0.4373,0.1459,-0.1837,0.8682","0.2865,-0.7975,0.1186,0.5175"
"0.3924,-0.6275,-0.1086,0.6637","0.0659,-0.6857,-0.1055,0.7172"
"0.3939,-0.6267,-0.1072,0.6638","0.0665,-0.6857,-0.1054,0.7171"
"0.3938,-0.6259,-0.1076,0.6645","0.0671,-0.6857,-0.1053,0.7171"
"0.3943,-0.6244,-0.1076,0.6656","0.0678,-0.6857,-0.1049,0.7171"
"0.3950,-0.6235,-0.1069,0.6662","0.0686,-0.6858,-0.1043,0.7170"
"0.3958,-0.6218,-0.1059,0.6675","0.0691,-0.6858,-0.1039,0.7170"
"0.3960,-0.6201,-0.1063,0.6689","0.0695,-0.6860,-0.1036,0.7169"
"0.3970,-0.6181,-0.1058,0.6702","0.0702,-0.6862,-0.1030,0.7167"
"0.3983,-0.6162,-0.1054,0.6712","0.0707,-0.6864,-0.1025,0.7165"
"0.3988,-0.6154,-0.1057,0.6716","0.0714,-0.6866,-0.1019,0.7163"
"0.4003,-0.6139,-0.1061,0.6720","0.0719,-0.6872,-0.1014,0.7158"
"0.4022,-0.6127,-0.1060,0.6720","0.0719,-0.6875,-0.1013,0.7155"
"0.4033,-0.6122,-0.1067,0.6717","0.0719,-0.6877,-0.1012,0.7153"
"0.4048,-0.6121,-0.1069,0.6709","0.0715,-0.6883,-0.1012,0.7148"
"0.4058,-0.6121,-0.1066,0.6702","0.0709,-0.6886,-0.1004,0.7146"
"0.4077,-0.6125,-0.1056,0.6690","0.0703,-0.6887,-0.1002,0.7146"
"0.4090,-0.6129,-0.1054,0.6678","0.0703,-0.6888,-0.0995,0.7146"
"0.4106,-0.6133,-0.1045,0.6666","0.0705,-0.6889,-0.0990,0.7146"
"0.4125,-0.6138,-0.1027,0.6653","0.0705,-0.6890,-0.0984,0.7146"
"0.4134,-0.6141,-0.1017,0.6646","0.0704,-0.6889,-0.0978,0.7147"
"0.4153,-0.6147,-0.0991,0.6632","0.0703,-0.6887,-0.0971,0.7150"
"0.4160,-0.6158,-0.0977,0.6619","0.0702,-0.6886,-0.0970,0.7152"
"0.4155,-0.6172,-0.0979,0.6610","0.0700,-0.6886,-0.0965,0.7153"
"0.4146,-0.6185,-0.0982,0.6603","0.0709,-0.6888,-0.0954,0.7151"
"0.4145,-0.6191,-0.0978,0.6598","0.0713,-0.6889,-0.0951,0.7150"
"0.4150,-0.6199,-0.0961,0.6590","0.0720,-0.6895,-0.0938,0.7145"
"0.4159,-0.6205,-0.0937,0.6582","0.0729,-0.6898,-0.0928,0.7144"
"0.4161,-0.6210,-0.0925,0.6577","0.0738,-0.6902,-0.0920,0.7139"
"0.4157,-0.6214,-0.0925,0.6577","0.0749,-0.6910,-0.0910,0.7132"
"0.4168,-0.6212,-0.0904,0.6575","0.0776,-0.6925,-0.0885,0.7117"
"0.4185,-0.6207,-0.0876,0.6572","0.0817,-0.6946,-0.0845,0.7097"
"0.4202,-0.6202,-0.0854,0.6569","0.0857,-0.6970,-0.0807,0.7074"
"0.4225,-0.6191,-0.0826,0.6568","0.0899,-0.6992,-0.0767,0.7051"
"0.4239,-0.6184,-0.0807,0.6568","0.0917,-0.7002,-0.0750,0.7040"
"0.4262,-0.6165,-0.0775,0.6575","0.0952,-0.7019,-0.0720,0.7022"
"0.4293,-0.6139,-0.0738,0.6583","0.0996,-0.7033,-0.0686,0.7006"
"0.4304,-0.6120,-0.0720,0.6596","0.1036,-0.7044,-0.0659,0.6991"
"0.4317,-0.6096,-0.0706,0.6611","0.1051,-0.7050,-0.0654,0.6983"
"0.4336,-0.6074,-0.0684,0.6621","0.1079,-0.7065,-0.0644,0.6965"
"0.4373,-0.6019,-0.0646,0.6651","0.1115,-0.7079,-0.0629,0.6947"
"0.4409,-0.5942,-0.0628,0.6698","0.1155,-0.7093,-0.0611,0.6927"
"0.4451,-0.5825,-0.0622,0.6773","0.1201,-0.7109,-0.0588,0.6905"
"0.4491,-0.5692,-0.0642,0.6857","0.1245,-0.7127,-0.0569,0.6880"
"0.4514,-0.5621,-0.0658,0.6899","0.1265,-0.7138,-0.0562,0.6866"
"0.4571,-0.5465,-0.0682,0.6984","0.1313,-0.7155,-0.0543,0.6840"
"0.4630,-0.5299,-0.0710,0.7070","0.1366,-0.7178,-0.0521,0.6808"
"0.4688,-0.5125,-0.0748,0.7156","0.1427,-0.7207,-0.0487,0.6767"
"0.4748,-0.4937,-0.0794,0.7243","0.1485,-0.7250,-0.0449,0.6711"
"0.4778,-0.4838,-0.0823,0.7286","0.1512,-0.7276,-0.0432,0.6677"
"0.4846,-0.4629,-0.0878,0.7370","0.1545,-0.7306,-0.0410,0.6638"
"0.4913,-0.4408,-0.0933,0.7454","0.1674,-0.7407,-0.0315,0.6499"
"0.4979,-0.4174,-0.0996,0.7536","0.1809,-0.7544,-0.0214,0.6307"
"0.5043,-0.3922,-0.1061,0.7620","0.1837,-0.7580,-0.0193,0.6256"
"0.5073,-0.3790,-0.1096,0.7661","0.1901,-0.7659,-0.0138,0.6140"
"0.5127,-0.3523,-0.1171,0.7741","0.1952,-0.7735,-0.0093,0.6030"
"0.5179,-0.3247,-0.1236,0.7817","0.1994,-0.7821,-0.0055,0.5903"
"0.5230,-0.2965,-0.1297,0.7885","0.2035,-0.7953,-0.0023,0.5710"
"0.5280,-0.2671,-0.1363,0.7945","0.2050,-0.7987,-0.0013,0.5657"
"0.5305,-0.2518,-0.1396,0.7973","0.2071,-0.8060,-0.0000,0.5545"
"0.5343,-0.2201,-0.1470,0.8028","0.2083,-0.8085,0.0012,0.5503"
"0.5370,-0.1539,-0.1656,0.8127","0.2091,-0.8089,0.0012,0.5495"
"0.5363,-0.1025,-0.1792,0.8184","0.2115,-0.8095,0.0021,0.5477"
"0.5347,-0.0672,-0.1874,0.8212","0.2165,-0.8138,0.0079,0.5392"
"0.5324,-0.0318,-0.1965,0.8227","0.2193,-0.8190,0.0127,0.5300"
"0.5294,0.0036,-0.2057,0.8230","0.2214,-0.8247,0.0174,0.5202"
"0.5256,0.0385,-0.2145,0.8223","0.2216,-0.8279,0.0197,0.5149"
"0.5235,0.0556,-0.2186,0.8216","0.2235,-0.8343,0.0241,0.5034"
"0.5187,0.0891,-0.2251,0.8199","0.2259,-0.8409,0.0272,0.4911"
"0.5141,0.1206,-0.2314,0.8170","0.2296,-0.8466,0.0297,0.4792"
"0.5101,0.1490,-0.2378,0.8131","0.2313,-0.8486,0.0312,0.4748"
"0.5062,0.1749,-0.2422,0.8090","0.2329,-0.8501,0.0329,0.4711"
"0.5044,0.1867,-0.2442,0.8069","0.2336,-0.8493,0.0326,0.4722"
"0.5008,0.2094,-0.2479,0.8024","0.2348,-0.8466,0.0318,0.4766"
"0.4913,0.2508,-0.2579,0.7933","0.2341,-0.8438,0.0308,0.4819"
"0.4873,0.2680,-0.2661,0.7873","0.2329,-0.8403,0.0297,0.4886"
"0.4853,0.2755,-0.2691,0.7849","0.2321,-0.8381,0.0291,0.4929"
"0.4814,0.2890,-0.2740,0.7808","0.2310,-0.8357,0.0282,0.4975"
"0.4790,0.3008,-0.2821,0.7749","0.2279,-0.8264,0.0209,0.5145"
"0.4775,0.3114,-0.2922,0.7679","0.2265,-0.8196,0.0123,0.5262"
"0.4758,0.3196,-0.2998,0.7627","0.2236,-0.8140,0.0045,0.5360"
"0.4764,0.3212,-0.3041,0.7599","0.2219,-0.8131,0.0023,0.5382"
"0.4781,0.3217,-0.3081,0.7570","0.2196,-0.8127,0.0004,0.5397"
"0.4812,0.3179,-0.3093,0.7561","0.2173,-0.8120,-0.0016,0.5417"
"0.4845,0.3112,-0.3092,0.7568","0.2058,-0.8053,-0.0135,0.5559"
"0.4870,0.3033,-0.3046,0.7603","0.2034,-0.8043,-0.0149,0.5581"
"0.4885,0.2984,-0.3018,0.7624","0.1982,-0.8006,-0.0181,0.5651"
"0.4979,0.2686,-0.2891,0.7722","0.1952,-0.7951,-0.0190,0.5739"
"0.5036,0.2469,-0.2794,0.7793","0.1913,-0.7901,-0.0208,0.5820"
"0.5097,0.2212,-0.2703,0.7863","0.1859,-0.7844,-0.0248,0.5913"
"0.5126,0.2072,-0.2662,0.7896","0.1836,-0.7817,-0.0264,0.5954"
"0.5183,0.1764,-0.2608,0.7951","0.1800,-0.7750,-0.0297,0.6051"
"0.5226,0.1445,-0.2560,0.8003","0.1782,-0.7718,-0.0314,0.6096"
"0.5246,0.1147,-0.2474,0.8065","0.1719,-0.7632,-0.0371,0.6217"
"0.5257,0.0866,-0.2405,0.8113","0.1637,-0.7551,-0.0430,0.6334"
"0.5264,0.0727,-0.2382,0.8129","0.1577,-0.7504,-0.0473,0.6401"
"0.5276,0.0462,-0.2303,0.8164","0.1532,-0.7456,-0.0507,0.6466"
"0.5292,0.0200,-0.2226,0.8185","0.1495,-0.7411,-0.0537,0.6524"
"0.5313,-0.0080,-0.2184,0.8185","0.1443,-0.7370,-0.0575,0.6578"
"0.5328,-0.0352,-0.2111,0.8187","0.1420,-0.7347,-0.0590,0.6607"
"0.5335,-0.0766,-0.2025,0.8176","0.1382,-0.7302,-0.0613,0.6663"
"0.5335,-0.1049,-0.1986,0.8154","0.1296,-0.7207,-0.0675,0.6777"
"0.5338,-0.1318,-0.1909,0.8132","0.1275,-0.7165,-0.0680,0.6824"
"0.5334,-0.1602,-0.1868,0.8093","0.1259,-0.7150,-0.0686,0.6842"
"0.5329,-0.1750,-0.1862,0.8067","0.1244,-0.7135,-0.0693,0.6860"
"0.5318,-0.2035,-0.1809,0.8019","0.1229,-0.7123,-0.0697,0.6875"
"0.5296,-0.2324,-0.1760,0.7966","0.1197,-0.7101,-0.0699,0.6903"
"0.5260,-0.2619,-0.1730,0.7904","0.1126,-0.7057,-0.0715,0.6958"
"0.5223,-0.2907,-0.1675,0.7840","0.1102,-0.7048,-0.0726,0.6971"
"0.5201,-0.3054,-0.1645,0.7805","0.1060,-0.7034,-0.0746,0.6988"
"0.5149,-0.3359,-0.1608,0.7721","0.1027,-0.7025,-0.0760,0.7002"
"0.5101,-0.3673,-0.1544,0.7622","0.1004,-0.7019,-0.0771,0.7009"
"0.5053,-0.3995,-0.1459,0.7508","0.0987,-0.7020,-0.0781,0.7010"
"0.5007,-0.4300,-0.1344,0.7392","0.0972,-0.7013,-0.0788,0.7018"
"0.4980,-0.4446,-0.1293,0.7332","0.0968,-0.7009,-0.0789,0.7022"
"0.4914,-0.4732,-0.1213,0.7210","0.0955,-0.7000,-0.0798,0.7032"
"0.4847,-0.4991,-0.1113,0.7096","0.0945,-0.6986,-0.0811,0.7046"
"0.4776,-0.5228,-0.1021,0.6986","0.0918,-0.6969,-0.0844,0.7063"
"0.4707,-0.5460,-0.0943,0.6866","0.0910,-0.6963,-0.0853,0.7068"
"0.4679,-0.5571,-0.0896,0.6802","0.0903,-0.6951,-0.0864,0.7080"
"0.4586,-0.5970,-0.0721,0.6543","0.0896,-0.6951,-0.0866,0.7080"
"0.4521,-0.6144,-0.0680,0.6431","0.0898,-0.6963,-0.0857,0.7069"
"0.4468,-0.6295,-0.0637,0.6325","0.0914,-0.6981,-0.0836,0.7052"
"0.4442,-0.6367,-0.0616,0.6273","0.0927,-0.6993,-0.0823,0.7040"
"0.4390,-0.6505,-0.0577,0.6171","0.0963,-0.7018,-0.0783,0.7015"
"0.4341,-0.6640,-0.0538,0.6064","0.0988,-0.7025,-0.0756,0.7007"
"0.4302,-0.6765,-0.0484,0.5957","0.1012,-0.7029,-0.0731,0.7002"
"0.4256,-0.6885,-0.0438,0.5855","0.1074,-0.7046,-0.0680,0.6982"
"0.4234,-0.6942,-0.0419,0.5806","0.1128,-0.7068,-0.0638,0.6954"
"0.4202,-0.7044,-0.0373,0.5708","0.1183,-0.7095,-0.0595,0.6921"
"0.4176,-0.7124,-0.0330,0.5631","0.1225,-0.7110,-0.0570,0.6901"
"0.4167,-0.7166,-0.0296,0.5585","0.1251,-0.7118,-0.0551,0.6890"
"0.4169,-0.7171,-0.0288,0.5577","0.1268,-0.7121,-0.0538,0.6884"
"0.4173,-0.7159,-0.0291,0.5590","0.1266,-0.7121,-0.0540,0.6884"
"0.4218,-0.7093,-0.0281,0.5640","0.1255,-0.7124,-0.0555,0.6883"
"0.4276,-0.6998,-0.0272,0.5716","0.1256,-0.7128,-0.0560,0.6878"
"0.4327,-0.6888,-0.0286,0.5809","0.1261,-0.7130,-0.0561,0.6875"
"0.4414,-0.6737,-0.0285,0.5921","0.1268,-0.7132,-0.0562,0.6871"
"0.4464,-0.6643,-0.0287,0.5988","0.1307,-0.7147,-0.0552,0.6848"
"0.4548,-0.6440,-0.0327,0.6143","0.1351,-0.7165,-0.0547,0.6822"
"0.4614,-0.6224,-0.0407,0.6310","0.1394,-0.7182,-0.0547,0.6795"
"0.4697,-0.5986,-0.0462,0.6473","0.1459,-0.7210,-0.0503,0.6756"
"0.4785,-0.5731,-0.0499,0.6634","0.1516,-0.7243,-0.0467,0.6710"
"0.4820,-0.5605,-0.0535,0.6713","0.1533,-0.7264,-0.0461,0.6684"
"0.4877,-0.5349,-0.0631,0.6870","0.1543,-0.7288,-0.0460,0.6655"
"0.4935,-0.5078,-0.0739,0.7023","0.1627,-0.7372,-0.0407,0.6545"
"0.4994,-0.4789,-0.0849,0.7170","0.1688,-0.7431,-0.0369,0.6465"
"0.5055,-0.4476,-0.0957,0.7314","0.1740,-0.7497,-0.0327,0.6376"
"0.5083,-0.4313,-0.1017,0.7384","0.1764,-0.7530,-0.0306,0.6332"
"0.5134,-0.3974,-0.1142,0.7520","0.1857,-0.7695,-0.0225,0.6107"
"0.5188,-0.3613,-0.1246,0.7647","0.1907,-0.7779,-0.0178,0.5984"
"0.5246,-0.3239,-0.1326,0.7761","0.1956,-0.7856,-0.0134,0.5869"
"0.5285,-0.2872,-0.1420,0.7861","0.1975,-0.7897,-0.0114,0.5808"
"0.5301,-0.2686,-0.1459,0.7909","0.2000,-0.7971,-0.0093,0.5697"
"0.5324,-0.2308,-0.1531,0.7999","0.2026,-0.8036,-0.0070,0.5596"
"0.5331,-0.1927,-0.1605,0.8080","0.2039,-0.8075,-0.0050,0.5535"
"0.5323,-0.1557,-0.1692,0.8148","0.2052,-0.8084,-0.0041,0.5517"
"0.5310,-0.1196,-0.1773,0.8200","0.2070,-0.8087,-0.0034,0.5505"
"0.5303,-0.1015,-0.1800,0.8223","0.2089,-0.8107,-0.0014,0.5470"
"0.5289,-0.0669,-0.1869,0.8251","0.2128,-0.8155,0.0034,0.5381"
"0.5272,-0.0339,-0.1938,0.8267","0.2152,-0.8196,0.0064,0.5309"
"0.5247,-0.0021,-0.2000,0.8275","0.2180,-0.8253,0.0098,0.5208"
"0.5213,0.0283,-0.2068,0.8274","0.2200,-0.8286,0.0120,0.5146"
"0.5194,0.0430,-0.2107,0.8270","0.2241,-0.8350,0.0168,0.5022"
"0.5152,0.0714,-0.2182,0.8258","0.2285,-0.8406,0.0215,0.4906"
"0.5106,0.0996,-0.2226,0.8245","0.2330,-0.8455,0.0257,0.4799"
"0.5058,0.1274,-0.2271,0.8224","0.2367,-0.8498,0.0295,0.4700"
"0.5012,0.1544,-0.2339,0.8187","0.2381,-0.8515,0.0308,0.4661"
"0.4988,0.1676,-0.2377,0.8164","0.2389,-0.8529,0.0321,0.4631"
"0.4943,0.1930,-0.2453,0.8114","0.2393,-0.8554,0.0337,0.4582"
"0.4896,0.2167,-0.2534,0.8057","0.2386,-0.8560,0.0336,0.4574"
"0.4853,0.2383,-0.2632,0.7990","0.2365,-0.8534,0.0323,0.4634"
"0.4821,0.2576,-0.2745,0.7911","0.2350,-0.8515,0.0312,0.4677"
"0.4805,0.2667,-0.2787,0.7876","0.2313,-0.8469,0.0283,0.4779"
"0.4770,0.2835,-0.2856,0.7814","0.2283,-0.8418,0.0257,0.4885"
"0.4741,0.2991,-0.2909,0.7754","0.2268,-0.8393,0.0248,0.4934"
"0.4707,0.3228,-0.2994,0.7646","0.2220,-0.8316,0.0222,0.5086"
