DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10926903,0.1122,-0.7669,0.2521,-0.5794,0.1763,-0.6953,-0.3958,0
10927070,0.1085,-0.7655,0.2470,-0.5841,0.2407,-0.8175,-0.4606,0
10927237,0.1016,-0.7638,0.2400,-0.5905,0.2924,-0.4905,-0.4301,0
10927403,0.0961,-0.7615,0.2343,-0.5966,0.2149,-0.0610,-0.4011,0
10927570,0.0936,-0.7593,0.2309,-0.6012,0.1376,0.1818,-0.3826,0
10927737,0.0931,-0.7574,0.2287,-0.6045,0.1542,0.1861,-0.3180,0
10927903,0.0936,-0.7555,0.2267,-0.6075,0.1447,0.2067,-0.2204,0
10928070,0.0941,-0.7537,0.2249,-0.6103,0.0694,-0.0083,-0.2097,0
10928237,0.0938,-0.7520,0.2230,-0.6131,-0.0229,-0.0685,-0.0881,0
10928403,0.0928,-0.7504,0.2214,-0.6159,-0.1706,0.0229,-0.0369,0
10928570,0.0911,-0.7488,0.2202,-0.6185,-0.1916,0.2631,-0.0656,0
10928737,0.0893,-0.7472,0.2192,-0.6211,-0.2574,0.6244,-0.0556,0
10928903,0.0881,-0.7455,0.2179,-0.6237,-0.3796,0.8646,-0.0645,0
10929070,0.0873,-0.7438,0.2165,-0.6263,-0.4386,0.8167,-0.1008,0
10929237,0.0868,-0.7421,0.2151,-0.6289,-0.4505,0.8103,-0.1006,0
10929403,0.0864,-0.7405,0.2137,-0.6313,-0.6069,0.8806,-0.0642,0
10929570,0.0861,-0.7390,0.2124,-0.6336,-0.7368,0.9973,-0.0679,0
10929737,0.0858,-0.7376,0.2116,-0.6355,-0.8216,1.0360,-0.0709,0
10929903,0.0857,-0.7366,0.2110,-0.6369,-0.9043,1.0494,-0.0290,0
10930070,0.0851,-0.7356,0.2114,-0.6379,-1.1083,1.1514,-0.0612,0
10930237,0.0855,-0.7353,0.2115,-0.6382,-1.1617,1.2346,0.0211,0
10930403,0.0857,-0.7350,0.2121,-0.6383,-1.1573,1.2946,0.0254,0
10930570,0.0853,-0.7345,0.2133,-0.6386,-1.1833,1.2759,0.1152,0
10930737,0.0850,-0.7339,0.2142,-0.6389,-1.2238,1.1349,0.1856,0
10930903,0.0849,-0.7336,0.2147,-0.6392,-1.2475,1.0482,0.1511,0
10931070,0.0841,-0.7330,0.2162,-0.6394,-1.1082,1.1584,0.1466,0
10931237,0.0843,-0.7330,0.2170,-0.6392,-1.2045,1.0953,-0.0191,0
10931403,0.0848,-0.7336,0.2181,-0.6380,-1.2280,1.1639,-0.1719,0
